sample	library	run	pair	layout	fqpath
P12	P12A	CL100035805_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035805_L02_P12A_m0_2.fq.gz
P13	P13A	CL100035805_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035805_L02_P13A_m0_1.fq.gz
P13	P13A	CL100035805_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035805_L02_P13A_m0_2.fq.gz
P14	P14A	CL100035805_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035805_L02_P14A_m0_1.fq.gz
P14	P14A	CL100035805_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035805_L02_P14A_m0_2.fq.gz
9262	9262A	CL100035942_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L01_9262A_m0_1.fq.gz
9262	9262A	CL100035942_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L01_9262A_m0_2.fq.gz
9268	9268A	CL100035942_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L01_9268A_m0_1.fq.gz
9268	9268A	CL100035942_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L01_9268A_m0_2.fq.gz
9272	9272A	CL100035942_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L01_9272A_m0_1.fq.gz
9272	9272A	CL100035942_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L01_9272A_m0_2.fq.gz
9275	9275A	CL100035942_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L01_9275A_m0_1.fq.gz
9275	9275A	CL100035942_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L01_9275A_m0_2.fq.gz
9267	9267A	CL100035942_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L02_9267A_m0_1.fq.gz
9267	9267A	CL100035942_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035942_L02_9267A_m0_2.fq.gz
