Table S3 Heterozygosity resources						
Catalog	Common name	Taxonomy	Family	Order	Conservation status	Heterozygosity 
mammals	Hairy Big-eared Bat	Micronycteris hirsuta	Chiroptera	Phyllostomidae	Least Concern	0.0045700
mammals	Jamacian Fruit-eating Bat	Artibeus jamaicensis	Chiroptera	Phyllostomidae	Least Concern	0.0046200
mammals	Seba's short-tailed bat	Carollia perspicillata	Chiroptera	Phyllostomidae	Least Concern	0.0076300
mammals	Stripe-headed Round-eared Bat	Tonatia saurophila	Chiroptera	Phyllostomidae	Least Concern	0.0030100
mammals	Tailed tailless bat	Anoura caudifer	Chiroptera	Phyllostomidae	Least Concern	0.0022400
mammals	Egyptian Fruit Bat	Rousettus aegyptiacus	Chiroptera	Pteropodidae	Least Concern	0.0024900
mammals	Long-tongued fruit bat	Macroglossus sobrinus	Chiroptera	Pteropodidae	Least Concern	0.0026000
mammals	Ashy-gray tube-nosed bat	Murina feae	Chiroptera	Vespertilionidae	Least Concern	0.0032600
mammals	Common Bent-wing Bat	Miniopterus schreibersii	Chiroptera	Vespertilionidae	Near Threatened	0.0009420
mammals	Common pipistrelle	Pipistrellus pipistrellus	Chiroptera	Vespertilionidae	Least Concern	0.0035800
mammals	Eastern Red Bat	Lasiurus borealis	Chiroptera	Vespertilionidae	Least Concern	0.0063200
mammals	Greater mouse-eared Bat	Myotis myotis	Chiroptera	Vespertilionidae	Least Concern	0.0033200
mammals	Pallid Bat	Antrozous pallidus	Chiroptera	Vespertilionidae	Least Concern	0.0017100
mammals	Snowshoe Hare	Lepus americanus	Lagomorpha	Leporidae	Least Concern	0.0040000
mammals	Mountain Beaver	Aplodontia rufa	Rodentia	Aplodontiidae	Least Concern	0.0029200
mammals	Desmarest's Hutia	Capromys pilorides	Rodentia	Capromyidae	Least Concern	0.0050130
mammals	North American Beaver	Castor canadensis	Rodentia	Castoridae	Least Concern	0.0015600
mammals	Montane Guinea Pig	Cavia tschudii	Rodentia	Caviidae	Least Concern	0.0014500
mammals	Patagonian Mara	Dolichotis patagonum	Rodentia	Caviidae	Near Threatened	0.0041000
mammals	Muskrat	Ondatra zibethicus	Rodentia	Cricetidae	Least Concern	0.0018800
mammals	Scorpion Mouse	Onychomys torridus	Rodentia	Cricetidae	Least Concern	0.0034600
mammals	Common Gundi	Ctenodactylus gundi	Rodentia	Ctenodactylidae	Least Concern	0.0022700
mammals	Social Tuco-tuco	Ctenomys sociabilis	Rodentia	Ctenomyidae	Critically Endangered	0.0006280
mammals	Lowland Paca	Cuniculus paca	Rodentia	Cuniculidae	Least Concern	0.0069500
mammals	Central American Agouti	Dasyprocta punctata	Rodentia	Dasyproctidae	Least Concern	0.0049700
mammals	Pacarana	Dinomys branickii	Rodentia	Dinomyidae	Least Concern	0.0005580
mammals	Gobi Jerboa	Allactaga bullata	Rodentia	Dipodidae	Least Concern	0.0033200
mammals	Meadow Jumping Mouse	Zapus hudsonius	Rodentia	Dipodidae	Least Concern	0.0045400
mammals	Woodland Doormouse	Graphiurus murinus	Rodentia	Gliridae	Least Concern	0.0026100
mammals	Pacific Pocket Mouse	Perognathus longimembris pacificus	Rodentia	Heteromyidae	Least Concern	0.0025700
mammals	Capybara	Hydrochoerus hydrochaeris	Rodentia	Hydrochaeridae	Least Concern	0.0011500
mammals	Northern Crested Porcupine	Hystrix cristata	Rodentia	Hystricidae	Least Concern	0.0043300
mammals	Mongolian Jird	Meriones unguiculatus	Rodentia	Muridae	Least Concern	0.0008470
mammals	Coypu	Myocastor coypus	Rodentia	Myocastoridae	Least Concern	0.0016700
mammals	Gambian Pouched Rat	Cricetomys gambianus	Rodentia	Nesomyidae	Least Concern	0.0022100
mammals	South African Springhare	Pedetes capensis	Rodentia	Pedetidae	Least Concern	0.0064300
