Table S3 Heterozygosity resources						
Catalog	Common name	Taxonomy	Family	Order	Conservation status	Heterozygosity 
animals	Eastern lowland gorilla 	Gorilla beringei graueri	Primates	Hominidae	Endangered	0.0006428
animals	Bighorn sheep	Ovis canadensis	Artiodactyla	Bovidae	Least Concern	0.0022177
animals	Kea	Nestor notabilis	Psittaciformes	Psittacidae	Endangered	0.0009100
animals	Common slipper shell	Crepidula fornicata	Littorinimorpha	Calyptraeidae	Least Concern	0.0056411
animals	Baiji	Lipotes vexillifer	Artiodactyla	Lipotidae	Critically Endangered	0.0001210
animals	Nemertine worm	Lineus lacteus	Heteronemertea	Lineidae	Data deficient	0.0072996
animals	Bootlace worm	Lineus longissimus	Heteronemertea	Lineidae	Data deficient	0.0052494
animals	Turkey vulture	Cathartes aura	Accipitriformes	Cathartidae	Least Concern	0.0011800
animals	Warty gorgonion	Eunicella verrucosa	Alcyonacea	Gorgoniidae	Vulnerable	0.0046354
animals	Budgerigar	Melopsittacus undulatus	Psittaciformes	Psittaculidae	Least Concern	0.0043100
animals	Amur tiger (TaeGeuk)	Panthera tigris altaica	Carnivora	Felidae	Endangered	0.0004863
animals	Essex skipper	Thymelicus lineola	Lepidoptera	Hesperiidae	Least Concern	0.0077778
animals	Brine shrimp	Artemia franciscana/salina/sinica/tibetana	Anostraca	Artemiidae	Data deficient	0.0019076
animals	Crested ibis	Nipponia nippon	Pelecaniformes	Threskiornithidae	Endangered	0.0004300
animals	Common house mosquito	Culex pipiens	Diptera	Culicidae	Least Concern	0.0028683
animals	Galapagos tortoise	Chelonoidis nigra	Testudines	Testudinidae	Critically Endangered	0.0009129
animals	Ant	Camponotus aethiops	Hymenoptera	Formicidae	Data deficient	0.0008928
animals	Ascidean	Cystodites dellechiajei	Aplousobranchia	polycitoridae	Data deficient	0.0054766
animals	Human Dai	Homo sapiens	Primates	Hominidae	Least Concern	0.0007700
animals	Dwarf oyster	Ostreola stentina	Ostreoida	Ostreidae	Data deficient	0.0067127
animals	Peregrine falcon	Falco peregrinus	Falconiformes	Falconidae	Data deficient	0.0007000
animals	Common vole	Microtus arvalis	Rodentia	Cricetidae	Least Concern	0.0018917
animals	Cross River gorilla	Gorilla gorilla diehli	Primates	Hominidae	Endangered	0.0009850
animals	Mediterranean termite	Reticulitermes lucifugus	Blattodea	Rhinotermitidae	Data deficient	0.0005315
animals	Mallard	Anas platyrhynchos	Anseriformes	Anatidae	Least Concern	0.0026100
animals	Cheetah	Acinonyx jubatus	Carnivora	Felidae	Vulnerable	0.0002000
animals	Human Karitiana	Homo sapiens	Primates	Hominidae	Least Concern	0.0005880
animals	Common seahorse	Hippocampus kuda	Syngnathiformes	Syngnathidae	Least Concern	0.0007279
animals	Harbour crab	Liocarcinus depurator	Decapoda	Polybiidae	Data deficient	0.0044504
animals	Bald eagle	Haliaeetus leucocephalus	Accipitriformes	Accipitridae	Least Concern	0.0004300
animals	Eurasian blue tit	Parus caeruleus	Passeriformes	Paridae	Least Concern	0.0018554
animals	NA	Caenorhabditis briggsae	Rhabditida	Rhabditidae	Data deficient	0.0015456
animals	Tasmanian devil	Sarcophilus harrisii	Dasyuromorphia	Dasyuridae	Endangered	0.0003205
animals	Japanese pufferfish	Takifugu rubripes	Tetraodontiformes	Tetraodontidae	Near Threatened	0.0040000
animals	Gray wolf	Canis lupus	Carnivora	Canidae	Least Concern	0.0014913
animals	Sea fan	Leptogorgia sarmentosa	Alcyonacea	Gorgoniidae	Least Concern	0.0060719
animals	Short-snouted seahorse	Hippocampus hippocampus/guttulatus	Syngnathiformes	Syngnathidae	Data deficient	0.0016298
animals	Sea potato	Echinocardium cordatum	Spatangoida	Loveniidae	Data deficient	0.0145816
animals	Cow	Bos taurus	Artiodactyla	Bovidae	Least Concern	0.0012130
animals	Human Mbuti	Homo sapiens	Primates	Hominidae	Least Concern	0.0010440
animals	Slipper shell	Bostrycapulus aculeatus	Littorinimorpha	Calyptraeidae	Data deficient	0.0161154
animals	Olive baboon	Papio anubis	Primates	Cercopithecidae	Least Concern	0.0018918
rhinoceros	Siberian unicorn	Elasmotherium sibiricum	Perissodactyla	Rhinocerotidae	Data deficient	0.0014100
rhinoceros	Woolly rhinoceros	Coelodonta antiquitatis	Perissodactyla	Rhinocerotidae	Data deficient	0.0019600
rhinoceros	Merck's rhinoceros	Stephanorhinus kirchbergensis	Perissodactyla	Rhinocerotidae	Data deficient	0.0009200
rhinoceros	Sumatran rhinoceros	Dicerorhinus sumatrensis	Perissodactyla	Rhinocerotidae	Critically Endangered	0.0011200
rhinoceros	Black rhinoceros	Diceros bicornis	Perissodactyla	Rhinocerotidae	Critically Endangered	0.0009100
rhinoceros	White rhinoceros	Ceratotherium simum simum	Perissodactyla	Rhinocerotidae	Near Threatened	0.0005300
rhinoceros	Javan rhinoceros	Rhinoceros sondiacus	Perissodactyla	Rhinocerotidae	Critically Endangered	0.0019200
rhinoceros	Greater one horned rhinoceros	Rhinoceros unicornis	Perissodactyla	Rhinocerotidae	Vulnerable	0.0005900
